Barcode,ProductName,TongBan,TrongTop100
8997240600423,423 TPBS: Sữa yến mạch vị nguyên bản Oatside 180ml,7999,x
8997240600041,041 TPBS: Sữa yến mạch vị nguyên bản Oatside 1L,5941,x
8938501349262,262 Cháo nấm Asuzac 36g,3183,x
A934755042263,263 Khẩu trang trẻ em 3D Unicharm Mask Kids (5 cái),2912,x
4983435734909,909 Tăm chỉ nha khoa 90 cây,2648,x
8938508147052,052 Cháo Yến Mạch 43g,2430,x
8934669490723,723 Nước rửa chén chuyên dùng Wai GreenMild 4L,2185,x
8938501349217,217 Canh rong biển đậu hũ Asuzac 40g (4gx10gói),2177,x
G0000066,066 Quà tặng theo bill 400K - Phiếu bốc thăm trúng thưởng,2079,x
8938508147038,038 Bột nêm Ngưu Báng 200g,2062,x
4979769180130,130 Bột trà xanh Matcha Uji Yanoen 30g,2024,x
8934755042201,201 Khẩu trang Unicharm 3D Mask High Block siêu bảo vệ size M gói 5 miếng,1995,x
A903111301249,249 Băng vệ sinh Organic Cotton có cánh Sofy 23cm 15 miếng,1976,x
4979369327904,904 Nước tương Chibi Nhật Bản cho bé 150ml,1934,x
8938501349125,125 Cháo thịt Asuzac 36g,1914,x
4979769180215,215 Bột trà xanh Funmatsucha Yanoen 100g,1837,x
G0000165,165 Quà tặng theo bill 500k - Phiếu bốc thăm trúng thưởng,1804,x
A903111504152,152 Khẩu trang Unicharm 3D ngăn khói bụi (100 cái),1758,x
858764000350,350 Súp Miso đậu hũ ăn liền Hikari Miso Enjuku 150.4g (8 phần),1584,x
4980523093528,528 Bột trà xanh Matcha Nhật Bản Kanes 50g,1577,x
8938501349675,675 Canh rong biển thịt bò Asuzac 40g (4gx10gói),1562,x
8936013251172,172 Nước giặt Gift Hương nước hoa Ambery túi 3.6kg,1536,x
8997240600430,430 Sữa yến mạch vị socola Oatside 200ml,1536,x
8888300281259,259 Bọt rửa tay Kirei Kirei hương dâu tằm 200ml (Túi refill),1530,x
8938501349118,118 Cháo gà Asuzac 36g,1516,x
8938501349132,132 Cháo cá Asuzac 36g,1502,x
4983435201234,234 Tăm nhựa Okamura dạng hộp 140 cây (2 hộp),1496,x
8888300281068,068 Bọt rửa tay Kirei Kirei hồng 200ml (Đào-Túi refill),1479,x
8938501349385,385 Canh rong biển miso Asuzac 50g (5gx10gói),1475,x
4979769120181,181 Trà xanh Sencha Yanoen 120g,1453,
8938502012028,028 Bả diệt gián Umaka hộp 6 viên,1442,
8938501349699,699 Cháo thịt bò Asuzac 36g,1410,
4983435201227,227 Tăm nhựa Okamura dạng bao 120 cây,1407,
8936142960105,105 Khẩu trang Y Tế Face Mask 3 lớp (55 cái - Trắng),1364,
4979769180147,147 Bột trà xanh Matcha Collagen Yanoen 30g,1341,
4979769160170,170 Trà xanh Bancha Yanoen 120g,1307,
4979369133000,000 Miso trắng men gạo Koji Yamagen 500g,1244,
4980523093641,641 Bột trà xanh Matcha Premium Kanes 30g,1244,
8850273132876,"876 Mồi diệt kiến Ars Ant Killer 2,5g",1218,
8938511728286,286 Khẩu trang Y tế Kim Sora KS94 4D 4 lớp (30 cái - Trắng),1218,
8997240600058,058 Sữa yến mạch vị socola Oatside 1L,1207,
8888300281013,013 Bọt rửa tay Kirei Kirei 200ml (Chanh-Túi refill),1187,
8934755042287,287 Khẩu trang Unicharm 3D Mask High Block siêu bảo vệ size L gói 5 miếng,1164,
8938501349361,361 Canh rong biển tôm Asuzac 40g (4gx10gói),1162,
858764000343,343 Súp Miso rong biển Wakame ăn liền Hikari Miso Enjuku 156g (8 phần),1122,
4979769191501,501 Trà gạo lứt Matcha Uji 200g,1115,
8938502012141,141 Chế phẩm thuốc diệt kiến Umaka 3g,1063,
4987103047933,"933 TPBVSK: Nước uống Hepalyse W 100ml, bảo vệ tế bào gan, tăng chức năng gan",1062,
4983435734503,503 Tăm chỉ nha khoa 50 cây,1052,
A934755010453,453 Băng vệ sinh dạng quần chống tràn ban đêm Diana Sensi M-L 5 cái,1028,
4980523093108,108 Trà xanh Sakura Matcha Nhật Bản 24g (3g x 8 gói),1024,
8888077103389,389 Bánh Plain Cracker Meiji 104g,1001,
B934755021046,"046 Băng vệ sinh siêu mỏng, siêu êm thoáng  có cánh Sofy Ultra Thin 26cm 8 miếng",995,
4991203130631,"631 Máy tạo bọt sữa, cà phê cầm tay Echo Metal",993,
8850002035188,188 Dung dịch rửa tay Kirei Kirei Lavender 200ml (Dạng bọt - Túi refill),953,
4982790403482,482 Khăn tắm tạo bọt cho nam 28x120cm,951,
A902102019187,187 Nước ngọt Coca Cola Nhật Bản lon 160ml,951,
A936142960105,105 [GIÁ TỐT] Khẩu trang chống bụi và vi khuẩn 55 cái màu trắng,944,
4979369050109,109 [GIÁ TỐT] Súp ăn mì Nhật Yamagen 1L,941,
8938511728293,293 Khẩu trang Y tế Kim Sora KS94 4D 4 lớp (30 cái - Hồng),934,
4979369133208,208 Miso đỏ men gạo Koji Yamagen 500g,922,
8851639001010,010 Nước tương Sushi & Sashimi Soy Sauce 200ml,888,
A903111363407,407 Băng vệ sinh siêu thấm có cánh Sofy Skin Comfort 23cm 20 miếng,877,
8938502012127,127 Hạt diệt kiến Umaka 3g (1 cái),876,
B937224925658,"658 TPBVSK: Viên uống tảo Spirulina 100% Japan Algae 2200 viên, tăng sức khỏe, cải thiện tiêu hóa",873,
8997240603042,042 TPBS: Sữa yến mạch đậm đà Oatside 180ml,863,
4991203161024,024 Đũa inox chống trượt Echo Metal 23cm,856,
A934755042195,195 Khẩu trang Unicharm 3D Mask ngăn khói bụi (5 cái),847,
4979369233007,007 Nước tương đậu nành Shoyu Yamagen vị thanh dịu 1L,813,
4978574102719,719 Gia vị rắc cơm cá hồi Marumiya 100g,812,
8936017790080,080 Gia vị nấu ăn Ryorishu Umami 880ml,806,
4979769190306,306 Trà gạo lứt Sencha Genmaicha 200g,798,
4978087878002,002 Kẹo chanh muối Matsuya 100g,795,
A934755042300,300 Khẩu trang Unicharm 3D Max Block (5 cái),791,
D902105016084,084 Mì ăn liền Mug Ramen 2 vị (4 gói),782,
4982790413405,405 Viên thả bồn cầu khử mùi hương Lavender 60gx3 viên,768,
8938505346038,"038 Nước tẩy toilet Mitsuei 500ml, kháng khuẩn, tẩy vết ố vàng",755,
8936183970972,972 Túi nước giặt xả AVATAR Hương hoa anh đào 2kg,754,
8938501349378,378 Canh rong biển hến Asuzac 35g (3.5gx10gói),751,
4982790406315,315 Khăn tắm tạo bọt 28x100cm,730,
4991203104229,229 Lưới lọc rác bồn rửa chén 11cm,724,
8936013256450,450 Sáp thơm Oasis Natural Sweet Floral Pink Rose 200g (Hoa hồng),716,
8851639001164,164 Nước sốt Takoyaki Sauce 200ml,708,
8936019920041,041 Chả cá xoắn (160g),705,
4979369050130,130 Súp ăn mì Nhật Yamagen 300ml,702,
8994504124312,312 Bánh que Lucky Stick Chocolate Meiji 45g,701,
4982790413412,412 Viên thả bồn cầu khử mùi hương bạc hà 60gx3 viên,699,
4982790407916,916 Bình xịt phun sương 330ml,694,
8888077103396,396 Bánh Plain Cracker Oat Meiji 104g (vị Yến mạch),692,
8936013256467,467 Sáp thơm Oasis Natural Jasmine Tea Freesia 200g (Hoa lài),688,
4987205041150,150 Kem nhuộm tóc phủ bạc Bigen Speedy Color Cream 4 Nâu vừa,684,
8851818523333,333 Nước giặt khử mùi Kao Attack anh đào 2.4kg,681,
A934755021053,053 Băng vệ sinh ban đêm siêu mỏng có cánh Sofy Ultra Thin 29cm 8 miếng,675,
8936061260218,218 Bia Sapporo Premium 330ml,672,
C902105016091,091 Mì ăn liền Mug Udon 2 vị (4 gói),671,
8938508147014,014 Bột nêm ngưu bàng 60g,668,
8936013257389,389 Bình xịt côn trùng Ars Pro.X Mạnh 500ml,666,
4984324014058,058 Viên tẩy rửa khử mùi bồn cầu 50gx2 viên Hương cam,659,
4991203182357,357 Muỗng inox Echo Metal 15.8cm,659,
8936013256481,481 Sáp thơm Oasis Natural Lavender & Musk 200g,659,
4979369053001,001 Nước tương đậu nành Shoyu Yamagen vị đậm đà 300ml,656,
8888077101101,101 Bánh Yan Yan socola Meiji 50g,655,
8938505346175,175 Nước lau sàn gốc thực vật Kenko Clean hương lavender 2L,643,
4978951061110,110 Nước giặt kháng khuẩn khử mùi Mitsuei Hương hoa trái 1.45kg,642,
8851639001133,133 Nước sốt Teriyaki Yamamori  200ml,616,
A934755042317,317 Khẩu trang Unicharm 3D High Block (100 cái),614,
A901033646080,080 Sữa hạnh nhân Marusan không đường 1L,608,
4980523093535,535 Bột trà xanh Nhật Bản Green Tea Powder Kanes 100g,607,
4983435714239,239 Bàn chải đánh răng lông siêu mảnh kháng khuẩn Okamura tuýp B,607,
4977821327646,646 Kẹo sữa vị Caramen Miyata 260g,604,
4987205041167,167 Kem nhuộm tóc phủ bạc Bigen Speedy Color Cream 5  Nâu sẫm,593,
4987205041174,174 Kem nhuộm tóc phủ bạc Bigen Speedy Color Cream 6 Nâu đen,581,
4991203125514,514 Muỗng inox Echo Metal 20.6cm,575,
8938511728309,309 Khẩu trang Y tế Kim Sora KS94 4D 4 lớp (30 cái - Đen),575,
4983435728106,106 Bàn chải kẽ răng Asahi hình L 6 cái (Nhiều mẫu),574,
4979369452019,019 [GIÁ TỐT] Nước tương đậu nành Shoyu Yamagen vị đậm đà 1L,569,
8936013256429,429 Sáp thơm đuổi muỗi Oasis Relaxing Purple 180g (Lavender),569,
4979369243006,006 Nước tương đậu nành Shoyu Yamagen vị thanh dịu 500ml,564,
8888077102023,023 Bánh Hello Panda nhân Socola 40g,564,
4984324014522,"522 Bột tẩy lồng máy giặt khử mùi, chống nấm mốc chiết xuất trà xanh 100g",555,
8936013256412,412 Sáp thơm đuổi muỗi Oasis Pink Blossom 180g (Hoa hồng),555,
8938511728316,316 Khẩu trang Y tế Kim Sora KS94 4D 3 lớp (10 cái - Xám),552,
4978951060687,687 Nước giặt chống khuẩn khử mùi Mitsuei 1.65kg Hương hoa trái (Túi refill),550,
8934755042218,218 Khẩu trang 3D Unicharm Mask Kids Cho bé (3 cái),546,
